index,date,team1,conference1,team2,conference2,site,s1_1,s1_2,s1_3,s1_4,s1_5,sets_1,s2_1,s2_2,s2_3,s2_4,s2_5,sets_2,winner,loser,attendance
1,2021-08-27,Tennessee St.,OVC,Alcorn,SWAC,"@New Orleans, LA",25,25,25,NA,NA,3,10,11,19,NA,NA,0,Tennessee St.,Alcorn,37
2,2021-08-27,South Carolina St.,MEAC,Xavier,Big East,"@Charlotte, N.C.",8,8,9,NA,NA,0,25,25,25,NA,NA,3,Xavier,South Carolina St.,0
3,2021-08-27,Penn St.,Big Ten,Georgia Tech,ACC,"@Orlando, FL",20,16,25,19,NA,1,25,25,17,25,NA,3,Georgia Tech,Penn St.,0
4,2021-08-27,Chattanooga,SoCon,Georgia St.,Sun Belt,NA,25,11,25,25,NA,3,20,25,23,21,NA,1,Chattanooga,Georgia St.,137
5,2021-08-27,Cleveland St.,Horizon,Morgan St.,MEAC,NA,25,25,25,NA,NA,3,23,23,18,NA,NA,0,Cleveland St.,Morgan St.,123
6,2021-08-27,Toledo,MAC,Elon,CAA,"@Blacksburg, VA",26,25,25,NA,NA,3,24,18,16,NA,NA,0,Toledo,Elon,103
7,2021-08-27,North Florida,ASUN,Wofford,SoCon,"@Boca Raton, FL",17,25,25,20,15,3,25,14,16,25,13,2,North Florida,Wofford,120
8,2021-08-27,USC Upstate,Big South,Mississippi Val.,SWAC,"@Hattiesburg, MS",25,25,25,NA,NA,3,11,4,14,NA,NA,0,USC Upstate,Mississippi Val.,0
9,2021-08-27,UIC,Horizon,Bowling Green,MAC,"@Indianapolis, IN",26,25,21,25,NA,3,24,20,25,23,NA,1,UIC,Bowling Green,100
10,2021-08-27,Colgate,Patriot,Kansas St.,Big 12,"@Lincoln, NE",25,21,24,16,NA,1,19,25,26,25,NA,3,Kansas St.,Colgate,0
11,2021-08-27,West Virginia,Big 12,Loyola Maryland,Patriot,"@Norfolk, VA",25,25,25,NA,NA,3,15,21,16,NA,NA,0,West Virginia,Loyola Maryland,0
12,2021-08-27,Texas St.,Sun Belt,Kentucky,SEC,"@Dayton, OH",18,7,15,NA,NA,0,25,25,25,NA,NA,3,Kentucky,Texas St.,289
13,2021-08-27,Tarleton St.,WAC,Miami (FL),ACC,"@Miami, FL",23,18,23,NA,NA,0,25,25,25,NA,NA,3,Miami (FL),Tarleton St.,100
