Team,Conference,Adj. RPI,Adj. RPI Value,Prev Adj. RPI,RPI,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150
A&M-Corpus Christi,Southland,99,0.54416,102,99,19-9,152,6-8,27,13-1,7-4,8-2,0-1,1-0,0-4,18-4,1-5,18-3
Abilene Christian,WAC,238,0.45625,236,239,9-15,186,6-5,15,3-10,1-6,3-7,0-0,0-1,1-4,8-10,1-5,8-7
Air Force,Mountain West,260,0.43418,260,261,7-21,294,3-7,11,4-14,0-12,3-7,0-0,0-0,0-8,7-13,0-8,6-7
Akron,MAC,259,0.43498,258,263,10-20,226,6-6,14,4-14,6-7,1-9,0-0,0-1,1-2,9-17,1-3,8-13
Alabama,SEC,178,0.49879,170,181,10-20,69,8-4,5,2-16,3-9,0-10,0-4,1-6,1-7,8-3,2-17,7-2
Alabama A&M,SWAC,332,0.32205,332,332,5-23,330,0-12,32,5-11,1-10,2-8,0-0,0-0,0-2,5-21,0-2,5-20
Alabama St.,SWAC,267,0.42876,268,264,17-17,286,3-13,32,14-4,5-6,7-3,0-0,0-0,0-3,17-14,0-3,17-11
Albany (NY),America East,210,0.47785,209,209,14-15,207,5-11,28,9-4,5-7,7-3,0-0,0-2,0-3,14-10,0-5,13-6
Alcorn,SWAC,339,0.26332,339,339,3-22,339,0-9,32,3-13,0-9,2-8,0-0,0-0,0-0,3-22,0-0,3-21
American,Patriot,147,0.51485,148,137,19-14,198,6-9,22,13-5,7-8,7-3,0-2,0-1,0-0,19-11,0-3,18-6
App State,Sun Belt,276,0.42268,275,277,7-22,272,4-8,16,3-14,1-7,1-9,0-0,0-3,0-0,7-19,0-3,7-10
Arizona,Pac-12,95,0.5471,96,93,16-15,74,8-3,4,8-12,4-8,4-6,0-8,1-6,4-1,11-0,5-15,8-0
Arizona St.,Pac-12,85,0.55708,60,89,14-17,47,7-4,4,7-13,4-8,3-7,2-7,1-5,5-4,6-1,8-16,5-1
Ark.-Pine Bluff,SWAC,295,0.40671,295,294,14-16,327,0-13,32,14-3,5-5,7-3,0-0,0-1,0-0,14-15,0-1,14-14
Arkansas,SEC,44,0.58722,46,41,19-10,44,9-2,5,10-8,8-4,5-5,0-7,1-2,6-0,12-1,7-9,10-1
Arkansas St.,Sun Belt,171,0.50239,172,170,15-14,58,9-3,16,6-11,6-6,2-8,0-0,0-3,1-1,14-10,1-4,12-6
Army West Point,Patriot,159,0.50744,161,158,17-9,154,6-3,22,11-6,5-4,6-4,0-0,0-1,0-0,17-8,0-1,14-4
Auburn,SEC,160,0.50698,167,159,13-15,94,8-2,5,5-13,2-8,2-8,0-4,0-4,2-4,11-3,2-12,11-3
Austin Peay,OVC,143,0.516,144,144,21-12,223,7-7,18,14-5,6-8,5-5,0-1,0-0,2-3,19-8,2-4,17-4
Ball St.,MAC,31,0.61232,32,27,29-3,46,12-2,14,17-1,11-1,10-0,0-0,0-2,6-0,23-1,6-2,17-1
Baylor,Big 12,5,0.70398,3,4,20-5,8,6-3,1,14-2,11-2,9-1,5-3,9-2,0-0,6-0,14-5,1-0
Bellarmine,ASUN,321,0.37084,321,321,6-22,311,4-8,23,2-14,1-8,1-9,0-0,0-1,0-4,6-17,0-5,6-15
Belmont,OVC,253,0.4421,252,252,9-20,290,2-8,18,7-12,2-10,2-8,0-0,0-0,0-5,9-15,0-5,8-10
Bethune-Cookman,SWAC,327,0.34834,327,327,6-21,324,0-11,32,6-10,2-8,3-7,0-0,0-0,0-0,6-21,0-0,6-19
Binghamton,America East,309,0.38581,309,307,7-17,271,4-8,28,3-9,3-8,1-9,0-0,0-0,0-1,7-16,0-1,7-15
